name,lad_nm
Aberdeen City,Aberdeen City
Aberdeenshire,Aberdeenshire
Angus Council,Angus
Antrim and Newtownabbey,Antrim and Newtownabbey
Ards and North Down,Ards and North Down
Argyll and Bute Council,Argyll and Bute
"Armagh City, Banbridge and Craigavon","Armagh City, Banbridge and Craigavon"
Bath and North East Somerset,Bath and North East Somerset
Bedford,Bedford
Belfast,Belfast
Blackburn with Darwen,Blackburn with Darwen
Blackpool,Blackpool
Blaenau Gwent,Blaenau Gwent
Borough of Halton,Halton
"Bournemouth, Christchurch and Poole, Dorset","Bournemouth, Christchurch and Poole"
Bracknell Forest,Bracknell Forest
Bridgend County Borough,Bridgend
Brighton and Hove,Brighton and Hove
Bristol City,"Bristol, City of"
Buckinghamshire,Buckinghamshire
Caerphilly County Borough,Caerphilly
Cambridgeshire,Cambridge
Cardiff,Cardiff
Carmarthenshire,Carmarthenshire
Causeway Coast and Glens,Causeway Coast and Glens
Central Bedfordshire,Central Bedfordshire
Ceredigion,Ceredigion
Cheshire East,Cheshire East
Cheshire West and Chester,Cheshire West and Chester
Clackmannanshire,Clackmannanshire
Conwy Principal Area,Conwy
Cornwall,Cornwall
County Durham,County Durham
Cumbria,Allerdale
Darlington,Darlington
Denbighshire,Denbighshire
Derby,Derby
Derbyshire,Amber Valley
Derry and Strabane,Derry City and Strabane
Devon,East Devon
"Dorset, Dorset",Dorset
Dumfries and Galloway,Dumfries and Galloway
Dundee City Council,Dundee City
East Ayrshire Council,East Ayrshire
East Dunbartonshire Council,East Dunbartonshire
East Lothian Council,East Lothian
East Renfrewshire Council,East Renfrewshire
East Riding of Yorkshire,East Riding of Yorkshire
East Sussex,Eastbourne
Edinburgh,City of Edinburgh
Essex,Basildon
Falkirk,Falkirk
Fermanagh and Omagh,Fermanagh and Omagh
Fife,Fife
Flintshire,Flintshire
Glasgow City,Glasgow City
Gloucestershire,Cheltenham
Greater London,City of London
Greater Manchester,Bolton
Gwynedd,Gwynedd
Hampshire,Basingstoke and Deane
Hartlepool,Hartlepool
Herefordshire,"Herefordshire, County of"
Hertfordshire,Broxbourne
Highland Council,Highland
Inverclyde,Inverclyde
Isle of Anglesey,Isle of Anglesey
Isle of Wight,Isle of Wight
Kent,Ashford
Kingston upon Hull,"Kingston upon Hull, City of"
Lancashire,Burnley
Leicester,Leicester
Leicestershire,Blaby
Lincolnshire,Boston
Lisburn and Castlereagh,Lisburn and Castlereagh
Luton,Luton
Medway,Medway
Merseyside,Knowsley
Merthyr Tydfil County Borough,Merthyr Tydfil
Mid Ulster,Mid Ulster
Mid and East Antrim,Mid and East Antrim
Middlesbrough,Middlesbrough
Midlothian,Midlothian
Milton Keynes,Milton Keynes
Monmouthshire,Monmouthshire
Moray,Moray
Na h-Eileanan an Iar,Na h-Eileanan Siar
Neath Port Talbot Principle Area,Neath Port Talbot
Newport,Newport
"Newry, Mourne and Down","Newry, Mourne and Down"
Norfolk,Breckland
North Ayrshire Council,North Ayrshire
North East Lincolnshire,North East Lincolnshire
North Lanarkshire,North Lanarkshire
North Lincolnshire,North Lincolnshire
North Somerset,North Somerset
North Yorkshire,Craven
Northamptonshire,Corby
Northumberland,Northumberland
Nottingham,Nottingham
Nottinghamshire,Ashfield
Orkney,Orkney Islands
Oxfordshire,Cherwell
Pembrokeshire,Pembrokeshire
Perth and Kinross,Perth and Kinross
Peterborough,Peterborough
Plymouth,Plymouth
Portsmouth,Portsmouth
Powys,Powys
Reading,Reading
Redcar and Cleveland,Redcar and Cleveland
Renfrewshire,Renfrewshire
Rhondda Cynon Taff,Rhondda Cynon Taf
Rutland,Rutland
Scottish Borders,Scottish Borders
Shetland Islands,Shetland Islands
Shropshire,Shropshire
Slough,Slough
Somerset,Mendip
South Ayrshire Council,South Ayrshire
South Gloucestershire,South Gloucestershire
South Lanarkshire,South Lanarkshire
South Yorkshire,Barnsley
Southampton,Southampton
Southend-on-Sea,Southend-on-Sea
Staffordshire,Cannock Chase
Stirling,Stirling
Stockton-on-Tees,Stockton-on-Tees
Stoke-on-Trent,Stoke-on-Trent
Suffolk,Babergh
Surrey,Elmbridge
Swansea,Swansea
Swindon,Swindon
"Telford and Wrekin, Shropshire",Telford and Wrekin
Thurrock,Thurrock
Torbay,Torbay
Torfaen Principal Area,Torfaen
Tyne and Wear,Gateshead
Vale of Glamorgan,Vale of Glamorgan
Warrington,Warrington
Warwickshire,North Warwickshire
West Berkshire,West Berkshire
West Dunbartonshire Council,West Dunbartonshire
West Lothian,West Lothian
West Midlands,Birmingham
West Sussex,Adur
West Yorkshire,Bradford
Wiltshire,Wiltshire
Windsor and Maidenhead,Windsor and Maidenhead
Wokingham,Wokingham
Worcestershire,Bromsgrove
Wrexham Principal Area,Wrexham
York,York
